29,Жуков Рустам,49,92650
89,Кузнецов Ибрагим,52,61562
16,Дьяконов Олег,36,85979
13,Гуров Олег,72,90380
23,Михайлов Амира,63,73590
48,Терентьев Оливия,41,81917
81,Смирнов Александр,65,93294
75,Крылова Аглая,61,57525
46,Афанасьев Варвара,31,70488
50,Зайцев Мирослав,41,58880
84,Фирсов Егор,76,57123
60,Корчагина Руслан,40,67909
43,Фирсов Адам,64,74020
7,Уваров Юлия,34,86246
83,Фирсов Кирилл,34,69853
62,Комаров Алия,30,79527
6,Петрова Роберт,49,59629
31,Волкова Семён,49,56379
15,Колесникова Софья,38,86572
37,Лебедев Ульяна,51,76874
73,Дьяконов Алексей,40,63628
78,Сергеева Валерия,69,94232
30,Иванов Иван,68,58447
33,Орлов Савелий,70,96402
57,Иванов Михаил,44,97311
54,Сергеева Владимир,65,74610
20,Фролов Мадина,30,74416
72,Волкова Полина,33,57066
56,Царев Макар,58,89382
86,Гаврилов София,62,92256
5,Дьяконов Аглая,74,63276
1,Комаров Варвара,47,72657
59,Волкова Дарья,41,80871
80,Терехов Яна,27,59120
28,Серова Ангелина,40,86816
9,Шевцова Ева,43,94685
18,Исаков Андрей,53,95634
87,Макаров Светлана,71,89871
11,Сафонов Владимир,33,82143
45,Жуков Роберт,65,75176
26,Макаров Кристина,39,64962
17,Осипова Лев,74,62501
